sourceId,orgName,location,type,email,phone,facebook,linkedinPeople,website,notes,eventSpecificLine,valediction,enrichedAt,contactFound
68ba8154ec7d,Redding Sports Ltd Ski and Board Swap,"Redding, CA",ski,info@reddingsportsltd.com,(530) 221-7333,https://www.facebook.com/145247928839511,[],https://www.reddingsportsltd.com,Locally owned outdoor retailer (Hilltop Dr). Major NorCal ski/board swap for the Redding area; also runs a spring bike swap. Email from BBB profile — confirm inbox before outreach.,Looks like the Redding Sports Ltd Ski and Board Swap usually lands the weekend before Thanksgiving — hope planning's going well.,See you on the trails,2026-07-18T22:12:45.156Z,true
ffb2ac1d751d,Redding Sports Ltd Bike Swap,"Redding, CA",bike,info@reddingsportsltd.com,(530) 221-7333,https://www.facebook.com/145247928839511,[],https://www.reddingsportsltd.com,Same shop as the ski/board swap. FAQ confirms spring bike swap; community posts have advertised mid-May dates.,Looks like the Redding Sports Ltd Bike Swap typically rolls around in May — hope planning's going well for the next one.,Happy riding,2026-07-18T22:12:45.156Z,true
9447332fe6a5,Redding Adventure Hub Bike Swap,"Redding, CA",bike,info@reddingadventurehub.com,(530) 768-5055,,[],https://reddingadventurehub.com,Downtown Redding bike/outdoor shop (N. Market St). Documented Nov 2024 Small Business Saturday swap — ask whether it is recurring.,Saw Redding Adventure Hub hosted a community bike swap around Small Business Saturday — hope another one is on the calendar.,Happy riding,2026-07-18T22:12:45.156Z,true
f22c1942e754,Plumas Ski Club Ski Swap,"Johnsville, CA",ski,andrew@plumasskiclub.org,,,[],https://www.plumasskiclub.org,Contact Andrew via andrew@plumasskiclub.org; general club email email@plumasskiclub.org. First annual held Nov 2025 — confirm 2026 dates.,Looks like the Plumas Ski Club Ski Swap ran in late November at Johnsville — hope planning's going well for the next one.,See you on the trails,2026-07-18T22:12:45.156Z,true
ad6e81ef4ca1,Pleasant Valley Ski Team Ski Swap,"Chico, CA",ski,wchrupalo@att.net,(530) 521-2106,,"[{""name"":""Walt Chrupalo"",""location"":""Chico, CA"",""role"":""Head Coach""}]",https://www.pvskiandsnowboard.com,Coach Walt Chrupalo is the primary contact. Team FAQ still lists Ski Swap as a fundraiser. Hughes Ski Hut historically co-hosted Chico-area HS ski swaps.,Looks like the Pleasant Valley Ski Team Ski Swap usually lands at the start of the school year — hope planning's going well.,See you on the trails,2026-07-18T22:12:45.156Z,true
566deb728727,Bike Month Humboldt Gear Swap,"Eureka, CA",bike,stephen.luther@hcaog.net,(707) 444-8208,,[],https://bikemonthhumboldt.org,Coalition via Humboldt County Association of Governments. Alternates: oona.smith@hcaog.net; Noah Sary (noah.sary@hcaog.net / 707-440-2051).,Looks like the Bike Month Humboldt gear swap rides with the May Bike Celebration in Eureka — hope planning's going well.,Happy riding,2026-07-18T22:12:45.156Z,true
b8dd929d7457,Chico Velo Fall Bike Party Gear Swap,"Chico, CA",bike,info@chicovelo.org,(530) 343-8356,,[],https://www.chicovelo.org,Local bike advocacy nonprofit. Fall Bike Party includes gear swap plus fundraising for Chico bike projects.,Looks like Chico Velo's Fall Bike Party Gear Swap is a fall fundraiser staple — hope planning's going well.,Happy riding,2026-07-18T22:12:45.156Z,true
4643e1b3dfc9,Santa Cruz Fly Fishing Club Swap Meet,"Aptos, CA",gear,,(831) 238-3037,,[],https://www.santacruzflyfishing.org,Reservations/questions: call Kevin at (831) 238-3037. Strong Monterey Bay coastal outdoor swap.,Looks like the Santa Cruz Fly Fishing Club Swap Meet is set for mid-May at Aptos Grange — hope planning's going well.,Tight lines,2026-07-18T22:12:45.156Z,true
08b47399388f,Mount Shasta Ski and Snowboard Swap,"Mount Shasta, CA",ski,sptden@gmail.com,(530) 926-2295,,[],https://mtshastasports.com,Most detailed public write-up is older; both shops still active. Secondary: The Fifth Season info@thefifthseason.com / (530) 926-3606. Confirm before outreach.,Hoping Mount Shasta's community ski and snowboard swap is still on the fall calendar — would love to compare notes.,See you on the trails,2026-07-18T22:12:45.156Z,true
366e73f9d29e,Eureka Bike Kitchen,"Eureka, CA",bike,eurekacommunitybikekitchen@gmail.com,(707) 269-2059,https://www.facebook.com/EurekaBikeKitchen/,[],https://eurekabikekitchen.org/,Prefer email; phone not monitored during open hours. Website domain has shown spam hijack risk — verify current site/social before linking. Located at Jefferson Community Center campus.,Love what Eureka Bike Kitchen does with recycled bikes and earn-a-bike — hope the workshop is humming.,Happy riding,2026-07-18T22:12:45.156Z,true
0a287842ea39,The Bike Church,"Santa Cruz, CA",bike,thebikechurch@gmail.com,(831) 425-2453,,[],https://bikechurch.santacruzhub.org/,"At Hub for Sustainable Living, 703 Pacific Ave (enter on Spruce). Long-running Santa Cruz community bike shop — strong PNW-style co-op analogue.",The Bike Church's DIY used-bike model is exactly the kind of community cycling work we love seeing.,Happy riding,2026-07-18T22:12:45.156Z,true
70d1e790e34e,Santa Cruz Bike Co-op,"Santa Cruz, CA",bike,bikecoop@gmail.com,(831) 216-6225,https://www.facebook.com/BikeCoopRevolution/,[],https://sites.google.com/view/ucscbikecoop/home,"Across from UCSC Bookstore, Redwood Building 2nd floor. Independent from university; closed summers/breaks/finals.",Hope the Santa Cruz Bike Co-op workshop is having a good term — always glad to see campus bike co-ops thriving.,Happy riding,2026-07-18T22:12:45.156Z,true
